participant_id,trial_id,language,session_type,sentence_type,ia_label,trial_length_ms,dwell_time,entry_count,time_to_first_fixation,mean_time_to_first_fixation,dwell_time_normalized_by_trial_length
edf03,36,Punjabi,sentence_audio,passive,o_vase_boy_broke_vase,3903.0,497,2,5263.0,5263.0,0.12733794517038174
edf03,36,Punjabi,sentence_audio,passive,s_boy_boy_broke_vase,3903.0,3406,2,5730.0,5730.0,0.8726620548296182
edf03,4,,free_viewing,,o_picture_artiste_drew_picture,4405.0,1607,2,963.0,963.0,0.3648127128263337
edf03,4,,free_viewing,,s_artiste_artiste_drew_picture,4405.0,2798,2,1438.0,1438.0,0.6351872871736662
edf03,5,,free_viewing,,o_door_boy_opened_door,4530.0,556,2,1184.0,1184.0,0.12273730684326711
edf03,5,,free_viewing,,s_boy_boy_opened_door,4530.0,3438,2,1398.0,1398.0,0.7589403973509934
edf03,6,,free_viewing,,o_veg_boy_cut_vegetables,4522.0,2897,3,1424.0,1424.0,0.6406457319770014
edf03,6,,free_viewing,,s_boy_boy_cut_vegetables,4522.0,1625,3,1089.0,1089.0,0.3593542680229987
edf03,7,,free_viewing,,o_lamp_girl_light_lamp,4527.0,1480,2,1016.0,1016.0,0.32692732493925336
edf03,7,,free_viewing,,s_girl_girl_lit_lamp,4527.0,3047,3,720.0,720.0,0.6730726750607466
edf03,8,,free_viewing,,o_clothes_woman_folded_clothes,4702.0,1478,2,1428.0,1428.0,0.3143343258188005
edf03,8,,free_viewing,,s_woman_woman_folded_clothes,4702.0,3224,3,1130.0,1130.0,0.6856656741811995
edf03,9,,free_viewing,,o_scooter_driver_wash_scooter,4432.0,2792,2,1024.0,1024.0,0.6299638989169675
edf03,9,,free_viewing,,s_driver_driver_wash_scooter,4432.0,1270,1,1686.0,1686.0,0.28655234657039713
edf04,1,,free_viewing,,o_frisbee_child_throw_frisbee,4650.0,658,2,1458.0,1458.0,0.14150537634408603
edf04,1,,free_viewing,,s_child_child_throw_frisbee,4650.0,3539,4,1076.0,1076.0,0.7610752688172043
edf04,10,,free_viewing,,o_lamp_girl_light_lamp,4557.0,1288,2,2342.0,2342.0,0.282642089093702
edf04,10,,free_viewing,,s_girl_girl_lit_lamp,4557.0,2683,3,723.0,723.0,0.5887645380732939
